"Summary_name","Summary_url","Summary_Floor_No","Summary_No_Rooms","Summary_No_Bathrooms","Summary_Area_m2","Summary_Add_ID","Summary_Publishing_Date","Summary_Price_EGP","Summary_Seller_Type","Summary_Price_P_M"
"Apartments For sale in Imtidad El Narges
أمتداد النرجس, القاهرة الجديدة - التجمع الخامس
168 M² 3 3
1,529,000 EGP","https://aqarmap.com.eg/en/listing/3132846-for-sale-cairo-new-cairo-mtdd-lnrjs","2","3","3","2023","SEMI_FINISHED","Main Street","168 M²","EG-3132846","05/01/2022"
"شقة 160 متر للبيع بالتقسيط فى ميدتاون العاصمة الادارية و استلم الآن
Midtown Condo Compound - Better Home, R7
160 M² 3 3
1,684,000 EGP","https://aqarmap.com.eg/en/listing/3081309-for-sale-cairo-new-administrative-capital-r7-midtown-condo","3","3","3","2022","SEMI_FINISHED","Garden","160 M²","شقة 160 متر للبيع بالتقسيط فى ميدتاون العاصمة الادارية و استلم الآن","02/12/2021"
"أمتداد النرجس, القاهرة الجديدة - التجمع الخامس
168 M² 3 3
1,529,000 EGP","https://aqarmap.com.eg/en/listing/3024135-for-sale-cairo-new-cairo-mtdd-lnrjs","2","3","3","SEMI_FINISHED","Main Street","168 M²","EG-3024135","27/10/2021","1,529,000 EGP"
"Apartments For sale in First Neighborhood
الحي الأول, بيت الوطن
168 M² 3 3
999,600 EGP","https://aqarmap.com.eg/en/listing/3121888-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","2","3","3","2023","SEMI_FINISHED","Main Street","168 M²","Apartments For sale in First Neighborhood","29/12/2021"
"Duplex For sale in Noor Oasis
واحة النور, كمبوند في ٦ اكتوبر
270 M² 4 3
600,000 EGP","https://aqarmap.com.eg/en/listing/3116000-for-sale-cairo-6th-of-october-compound-noor-oasis","Ground","4","3","2021","SEMI_FINISHED","Garden","270 M²","Duplex For sale in Noor Oasis","25/12/2021"
"Apartments For sale in Seventh Neighborhood
الحي السابع, بيت الوطن
230 M² 3 3
1,616,000 EGP","https://aqarmap.com.eg/en/listing/3128911-for-sale-cairo-new-cairo-bait-el-watan-seventh-neighborhood","2","3","3","2024","SEMI_FINISHED","Side Street","230 M²","Apartments For sale in Seventh Neighborhood","03/01/2022"
"Apartments For sale in Fourth Neighborhood
الحي الرابع, بيت الوطن
207 M² 3 3
1,441,200 EGP","https://aqarmap.com.eg/en/listing/3101199-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood","2","3","3","2024","SEMI_FINISHED","Side Street","207 M²","Apartments For sale in Fourth Neighborhood","15/12/2021"
"Apartment with Garden For sale in Seventh Neighborhood
الحي السابع, بيت الوطن
200 M² 3 3
1,395,000 EGP","https://aqarmap.com.eg/en/listing/3128861-for-sale-cairo-new-cairo-bait-el-watan-seventh-neighborhood","Ground","3","3","2024","SEMI_FINISHED","Garden","200 M²","Apartment with Garden For sale in Seventh Neighborhood","03/01/2022"
"Own your apartment in Bait Al Watan, an area of 155 m, with a garden of 112.5, with a down payment of 7.5%
الحي الأول, بيت الوطن
155 M² 3 3
1,085,000 EGP","https://aqarmap.com.eg/en/listing/3126071-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","Ground","3","3","2023","SEMI_FINISHED","Main Street","155 M²","Own your apartment in Bait Al Watan, an area of 155 m, with a garden of 112.5, with a down payment of 7.5%","01/01/2022"
"Apartments For sale in Bait El Watan
بيت الوطن, 6 أكتوبر
205 M² 3 3
1,300,000 EGP","https://aqarmap.com.eg/en/listing/3129424-for-sale-cairo-6th-of-october-bait-el-watan","2","3","3","2022","SEMI_FINISHED","Pool","205 M²","EG-3129424","03/01/2022"
"Apartments For sale in The First Area - Lotus North
المنطقة الأولى - اللوتس الشمالية, اللوتس الشماليه
143 M² 3 2
1,144,000 EGP","https://aqarmap.com.eg/en/listing/3132760-for-sale-cairo-new-cairo-el-lotus-lotus-south-lmntq-lwl-llwts-lshmly","Ground","3","2","2018","SEMI_FINISHED","Side Street","143 M²","Apartments For sale in The First Area - Lotus North","05/01/2022"
"Apartment for sale in Mini Compound Beit Al Watan 4th District
التجمع الخامس بيت الوطن الحي الرابع
224 M² 3 3
1,643,000 EGP","https://aqarmap.com.eg/en/listing/3132343-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood","2","3","3","2024","SEMI_FINISHED","Main Street","224 M²","Apartment for sale in Mini Compound Beit Al Watan 4th District","05/01/2022"
"Apartments For sale in R8
دي جويا - تاج مصر للتطوير, كمبوند بالعاصمة الادارية الجديدة
165 M² 3 2
2,350,000 EGP","https://aqarmap.com.eg/en/listing/3124029-for-sale-cairo-new-administrative-capital-new-capital-compounds-dy-jwy","1","3","2","2021","SUPER_LUX","Main Street","165 M²","Apartments For sale in R8","30/12/2021"
"Apartments For sale in New El Andalous
الأندلس الجديدة, القاهرة الجديدة - التجمع الخامس
165 M² 3 2
1,350,000 EGP","https://aqarmap.com.eg/en/listing/3089006-for-sale-cairo-new-cairo-new-el-andalous","3","3","2","2021","SEMI_FINISHED","Side Street","165 M²","Apartments For sale in New El Andalous","08/12/2021"
"Apartments 150 M² Semi Finished in New El Andalous
الأندلس الجديدة, القاهرة الجديدة - التجمع الخامس
150 M² 3 2
1,300,000 EGP","https://aqarmap.com.eg/en/listing/3089009-for-sale-cairo-new-cairo-new-el-andalous","3","3","2","2021","SEMI_FINISHED","150 M²","EG-3089009","Apartments 150 M² Semi Finished in New El Andalous","1,300,000 EGP"
"Compound For sale in Sephora Heights
سيفورا هايتس, كمبوند بالتجمع الخامس
187 M²
2,490,840 EGP","https://aqarmap.com.eg/en/listing/3127355-for-sale-cairo-new-cairo-compounds-sephora-heights","187 M²","EG-3127355","02/01/2022","2,490,840 EGP","Agent","Cash or Installments","13,320 EGP/M²","Compound For sale in Sephora Heights",""
"Apartments 160 M² Semi Finished in El Narges Omarat
النرجس عمارات, النرجس
160 M² 3 3
1,515,000 EGP","https://aqarmap.com.eg/en/listing/2929577-for-sale-cairo-new-cairo-el-narges-el-narges-omarat","1","3","3","2023","SEMI_FINISHED","160 M²","EG-2929577","Apartments 160 M² Semi Finished in El Narges Omarat","1,515,000 EGP"
"Duplex 224 m - New Cairo - Lotus District, for sale
اللوتس الجنوبيه, اللوتس
224 M² 3 3
1,800,000 EGP","https://aqarmap.com.eg/en/listing/3130393-for-sale-cairo-new-cairo-el-lotus-lotus-south","3","3","3","2018","SEMI_FINISHED","Corner","224 M²","Duplex 224 m - New Cairo - Lotus District, for sale","04/01/2022"
"Apartments For sale in Neighbourhood 3
المجاوره الثالثه, حي الياسمين - المنطقة الثامنة
250 M² 3 3
1,300,000 EGP","https://aqarmap.com.eg/en/listing/3126408-for-sale-mdyn-lshrwq-hai-el-yassmin-eighth-zone-neighbourhood-3","2","3","3","2019","SEMI_FINISHED","Corner","250 M²","Apartments For sale in Neighbourhood 3","01/01/2022"
"دوبلكس بنتهاوس للبيع الترا سوبر لوكس فيو جاردن بسعر مغري بالحي الخامس متفرع من الشويفات
Akhnaton St., Fifth Neighborhood
250 M² 3 3
3,000,000 EGP","https://aqarmap.com.eg/en/listing/3102295-for-sale-cairo-new-cairo-el-ahyaa-fifth-neighborhood-akhnaton-st","4","3","3","2018","super_lux","Garden","250 M²","دوبلكس بنتهاوس للبيع الترا سوبر لوكس فيو جاردن بسعر مغري بالحي الخامس متفرع من الشويفات","15/12/2021"
"Apartments For sale in Bait El Watan
بيت الوطن, 6 أكتوبر
175 M² 3 3
1,100,000 EGP","https://aqarmap.com.eg/en/listing/3125136-for-sale-cairo-6th-of-october-bait-el-watan","2","3","3","2021","SEMI_FINISHED","Pool","175 M²","EG-3125136","31/12/2021"
"Apartments For sale in Shooting Club Area
منطقة نادي الصيد, الدقي
163 M² 3 3
2,550,000 EGP","https://aqarmap.com.eg/en/listing/3111321-for-sale-cairo-dokki-manteqt-nadi-el-syd","5","3","3","2019","SEMI_FINISHED","Main Street","163 M²","EG-3111321","22/12/2021"
"Apartments For sale in Msadak
مصدق, الدقي
200 M² 3 3
2,500,000 EGP","https://aqarmap.com.eg/en/listing/3120427-for-sale-cairo-dokki-msdq","5","3","3","2019","SEMI_FINISHED","Garden","200 M²","EG-3120427","28/12/2021"
"Apartments For sale in El Batal Ahmed Abdel Aziz
البطل أحمد عبد العزيز, الدقي
225 M² 3 3
3,800,000 EGP","https://aqarmap.com.eg/en/listing/3120563-for-sale-cairo-dokki-el-batal-ahmed-abd-el-aziz","2","3","3","2019","SEMI_FINISHED","Garden","225 M²","EG-3120563","28/12/2021"
"Apartments For sale in Msadak
مصدق, الدقي
195 M² 4 3
2,450,000 EGP","https://aqarmap.com.eg/en/listing/3120296-for-sale-cairo-dokki-msdq","5","4","3","2019","SEMI_FINISHED","Garden","195 M²","EG-3120296","28/12/2021"
"Apartments For sale in El Batal Ahmed Abdel Aziz
البطل أحمد عبد العزيز, الدقي
205 M² 3 3
3,600,000 EGP","https://aqarmap.com.eg/en/listing/3119716-for-sale-cairo-dokki-el-batal-ahmed-abd-el-aziz","3","3","3","2019","SEMI_FINISHED","Side Street","205 M²","EG-3119716","27/12/2021"
"Apartment 240 m with the lowest down payment in Beit Al Watan 117.000 EGP and installments over 60 months
الحي الأول, بيت الوطن
240 M² 3 3
1,560,000 EGP","https://aqarmap.com.eg/en/listing/3123388-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","2","3","3","2023","SEMI_FINISHED","Side Street","240 M²","Apartment 240 m with the lowest down payment in Beit Al Watan 117.000 EGP and installments over 60 months","30/12/2021"
"Apartment 210 m with garden 145 m, down payment of 102375 EGP, installments for 60 months
الحي الأول, بيت الوطن
210 M² 3 3
1,365,000 EGP","https://aqarmap.com.eg/en/listing/3123399-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","Ground","3","3","2023","SEMI_FINISHED","Side Street","210 M²","Apartment 210 m with garden 145 m, down payment of 102375 EGP, installments for 60 months","30/12/2021"
"Apartments 174 M² Semi Finished in Lotus South
اللوتس الجنوبيه, اللوتس
174 M² 3 3
1,479,000 EGP","https://aqarmap.com.eg/en/listing/3121990-for-sale-cairo-new-cairo-el-lotus-lotus-south","2","3","3","2018","SEMI_FINISHED","Side Street","174 M²","Apartments 174 M² Semi Finished in Lotus South","02/01/2022"
"For sale - Apartments 170 M² Semi Finished in Shooting Club Area
منطقة نادي الصيد, الدقي
170 M² 3 3
2,100,000 EGP","https://aqarmap.com.eg/en/listing/3119668-for-sale-cairo-dokki-manteqt-nadi-el-syd","2","3","3","2019","SEMI_FINISHED","Garden","170 M²","EG-3119668","27/12/2021"
"Apartments For sale in The First Area - Lotus North
المنطقة الأولى - اللوتس الشمالية, اللوتس الشماليه
168 M² 3 3
1,150,000 EGP","https://aqarmap.com.eg/en/listing/3123101-for-sale-cairo-new-cairo-el-lotus-lotus-south-lmntq-lwl-llwts-lshmly","4","3","3","2007","SEMI_FINISHED","Garden","168 M²","Apartments For sale in The First Area - Lotus North","29/12/2021"
"Apartments For sale in Castle Landmark Compound - Castle Landmark
كمبوند كاسيل لاندمارك - كاسيل, R7
95 M² 2 1
1,700,000 EGP","https://aqarmap.com.eg/en/listing/3119259-for-sale-cairo-new-administrative-capital-r7-castle-landmark","2","2","1","2020","WITHOUT_FINISH","Main Street","95 M²","Apartments For sale in Castle Landmark Compound - Castle Landmark","27/12/2021"
"Apartments For Sale in New Lotus
اللوتس الجديدة, القاهرة الجديدة - التجمع الخامس
180 M² 3 3
1,260,000 EGP","https://aqarmap.com.eg/en/listing/3049143-for-sale-cairo-new-cairo-llwts-ljdyd","2","3","3","2015","SEMI_FINISHED","Side Street","180 M²","EG-3049143","09/11/2021"
"Apartments For sale in Lotus South
اللوتس الجنوبيه, اللوتس
170 M² 3 2
1,445,000 EGP","https://aqarmap.com.eg/en/listing/3074000-for-sale-cairo-new-cairo-el-lotus-lotus-south","2","3","2","2020","WITHOUT_FINISH","Garden","170 M²","Apartments For sale in Lotus South","27/11/2021"
"Apartments For sale in nadi al said
محيي الدين ابو العز, الدقي
300 M² 4 3
4,950,000 EGP","https://aqarmap.com.eg/en/listing/3119519-for-sale-cairo-dokki-mohey-el-din-abo-el-ezz","10","4","3","2010","EXTRA_SUPER_LUX","Main Street","300 M²","EG-3119519","27/12/2021"
"For Sale - Duplex 288 M² without finish
El Asmarat Neighborhood, Mokattam
288 M² 4 3
1,912,500 EGP","https://aqarmap.com.eg/en/listing/2930936-for-sale-cairo-mokattam-compounds-kmbwnd-jwldn-jyts","1","4","3","2019","WITHOUT_FINISH","Main Street","288 M²","For Sale - Duplex 288 M² without finish","15/08/2021"
"Apartments For sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
153 M² 3 2
1,125,000 EGP","https://aqarmap.com.eg/en/listing/3110434-for-sale-cairo-hlywbwlys-ljdyd-compounds-in-new-heliopolis","5","3","2","2022","SEMI_FINISHED","Main Street","153 M²","EG-3110434","21/12/2021"
"Duplex For Sale in Noor Oasis
واحة النور, كمبوند في ٦ اكتوبر
340 M² 5 4
1,650,000 EGP","https://aqarmap.com.eg/en/listing/3057674-for-sale-cairo-6th-of-october-compound-noor-oasis","1","5","4","SEMI_FINISHED","Corner","340 M²","EG-3057674","Duplex For Sale in Noor Oasis","1,650,000 EGP"
"Apartment with Garden 180 M² Extra super lux in Fifth Square Compound - AlMarasem
كمبوند fifth square بالتجمع الخامس
180 M² 3 3
4,365,000 EGP","https://aqarmap.com.eg/en/listing/3115277-for-sale-cairo-new-cairo-compounds-fifth-square","2","3","3","EXTRA_SUPER_LUX","Garden","180 M²","EG-3115277","Apartment with Garden 180 M² Extra super lux in Fifth Square Compound - AlMarasem","4,365,000 EGP"
"apartment for sale at Park Lane one of the most elite projects at the New Capital for the old prices without over
كمبوند بارك لين - العتال, R7
125 M² 2 2
1,432,000 EGP","https://aqarmap.com.eg/en/listing/3112857-for-sale-cairo-new-administrative-capital-r7-park-lane","3","2","2","2023","SEMI_FINISHED","Main Street","125 M²","apartment for sale at Park Lane one of the most elite projects at the New Capital for the old prices without over","23/12/2021"
"apartment for sale at Green Avenue Capital amazing view for attractive price without over
كمبوند جرين أفينو - نيو جيرسي, R7
152 M² 3 3
1,400,000 EGP","https://aqarmap.com.eg/en/listing/3112860-for-sale-cairo-new-administrative-capital-r7-green-avenue","1","3","3","2022","SEMI_FINISHED","Main Street","152 M²","apartment for sale at Green Avenue Capital amazing view for attractive price without over","23/12/2021"
"Apartments in New Heliopolis 175 M² Semi Finished For Sale
New Heliopolis, New Heliopolis
175 M² 3 3
896,000 EGP","https://aqarmap.com.eg/en/listing/2888845-for-sale-cairo-hlywbwlys-ljdyd-compounds-in-new-heliopolis","Ground","3","3","2022","SEMI_FINISHED","Main Street","175 M²","EG-2888845","06/07/2021"
"Apartments in New Heliopolis 173 M² Semi Finished For Sale
New Heliopolis, New Heliopolis
173 M² 3 3
1,315,000 EGP","https://aqarmap.com.eg/en/listing/3024121-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis","Ground","3","3","2022","SEMI_FINISHED","Main Street","173 M²","EG-3024121","27/10/2021"
"Apartments Semi Finished For Sale in New Heliopolis
New Heliopolis, New Heliopolis
144 M² 3 2
968,000 EGP","https://aqarmap.com.eg/en/listing/3099488-for-sale-mdyn-lshrwq-compounds-sodic-east","5","3","2","2022","SEMI_FINISHED","144 M²","EG-3099488","Apartments Semi Finished For Sale in New Heliopolis","968,000 EGP"
"Apartments For sale in Atika Compound - New Plan
كمبوند أتيكا - نيو بلان للتطوير, R7
213 M² 3 3
3,601,000 EGP","https://aqarmap.com.eg/en/listing/3099784-for-sale-cairo-new-administrative-capital-r7-atika","4","3","3","2021","SUPER_LUX","Main Street","213 M²","Apartments For sale in Atika Compound - New Plan","14/12/2021"
"Apartments 160 M² For sale in Shehab St
شارع شهاب, المهندسين
160 M² 2 2
1,600,000 EGP","https://aqarmap.com.eg/en/listing/3115246-for-sale-cairo-el-mohandesen-shareaa-shehab","4","2","2","1988","SUPER_LUX","Side Street","160 M²","EG-3115246","25/12/2021"
"Apartments For sale in Capital Heights 2 Compound - SUD
كمبوند كابيتال هايتس 2 - الصفوة العقارية, كمبوند بالعاصمة الادارية الجديدة
200 M² 3 3
1,850,000 EGP","https://aqarmap.com.eg/en/listing/3112183-for-sale-cairo-new-administrative-capital-new-capital-compounds-kmbwnd-kbytl-hyts-2-lsfw-l-qry","1","3","3","2020","WITHOUT_FINISH","Side Street","200 M²","Apartments For sale in Capital Heights 2 Compound - SUD","22/12/2021"
"Duplex For sale in The Third Area - Lotus North
اللوتس الشماليه - الحي الثالث
369 M² 3 4
1,914,600 EGP","https://aqarmap.com.eg/en/listing/3115787-for-sale-cairo-new-cairo-el-lotus-lotus-south-lmntq-lthlth-llwts-lshmly","1","3","4","2021","SEMI_FINISHED","Garden","369 M²","Duplex For sale in The Third Area - Lotus North","25/12/2021"
"Apartments Semi Finished For Sale in New Heliopolis
New Heliopolis, New Heliopolis
150 M² 3 3
774,000 EGP","https://aqarmap.com.eg/en/listing/2888841-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis","Ground","3","3","2022","SEMI_FINISHED","Main Street","150 M²","EG-2888841","06/07/2021"
"امتلك شقتك في قلب المعادي بجوار نادي وادي دجله بأقل مقدم استلام فوري
دجلة, المعادي
145 M² 3 2
1,187,000 EGP","https://aqarmap.com.eg/en/listing/3119088-for-sale-cairo-el-maadi-degla","3","3","2","2022","SEMI_FINISHED","145 M²","EG-3119088","27/12/2021","1,187,000 EGP"
"Apartments For sale in Bait El Watan
بيت الوطن, مدينة الشيخ زايد
295 M² 4 3
1,475,000 EGP","https://aqarmap.com.eg/en/listing/3118600-for-sale-cairo-el-sheikh-zayed-city-bait-el-watan","2","4","3","2021","SEMI_FINISHED","Main Street","295 M²","EG-3118600","27/12/2021"
"fantastic price for an apartment for sale in Zed west with 5% downpayment.
Zed towers, Sheikh Zayed
97 M² 2 2
3,644,000 EGP","https://aqarmap.com.eg/en/listing/3112927-for-sale-cairo-el-sheikh-zayed-city-compounds-brj-zyd-wr-llttwyr","8","2","2","SUPER_LUX","Main Street","97 M²","EG-3112927","fantastic price for an apartment for sale in Zed west with 5% downpayment.","3,644,000 EGP"
"Apartments in New Cairo Extension 131 M² Semi Finished For sale
كمبوند ساراي - مدينة نصر للاسكان و التعمير, كمبوند بالتجمع الخامس
131 M² 2 2
1,662,549 EGP","https://aqarmap.com.eg/en/listing/3106207-for-sale-cairo-new-cairo-compounds-sarai","1","2","2","2022","SEMI_FINISHED","Main Street","131 M²","Apartments in New Cairo Extension 131 M² Semi Finished For sale","18/12/2021"
"Apartments Semi Finished For sale in Hai El Ashgar - Featured Neighborhood
حي الأشجار - الحي المتميز, مدينة بدر
166 M² 3 3
647,400 EGP","https://aqarmap.com.eg/en/listing/3107951-for-sale-cairo-badr-city-hai-el-ashgar-featured-neighborhood","1","3","3","2019","SEMI_FINISHED","Main Street","166 M²","EG-3107951","20/12/2021"
"Duplex 161 M² Super lux in Monte Napoleone Compound - Reportage Properties
كمبوند مونتي نابوليوني - ريبورتاج العقارية, كمبوند بمدينة المستقبل
161 M² 2 1
1,950,000 EGP","https://aqarmap.com.eg/en/listing/3096106-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-kmbwnd-mwnty-nbwlywny-rybwrtj-l-qry","Ground","2","1","2025","SUPER_LUX","Garden","161 M²","Duplex 161 M² Super lux in Monte Napoleone Compound - Reportage Properties","12/12/2021"
