Summary_name,Summary_url,Summary_Floor_No,Summary_No_Rooms,Summary_No_Bathrooms,Summary_Area_m2,Summary_Add_ID,Summary_Publishing_Date,Summary_Price_EGP,Summary_Seller_Type,Summary_Price_P_M
"شقة للبيع مكان مميز جدااا
6th of October, Greater Cairo
245 M² 4 2
2,000,000 EGP",https://aqarmap.com.eg/en/listing/3133778-for-sale-cairo-6th-of-october,4,4,2,245 M²,EG-3133778,6/1/2022,"2,000,000 EGP",Property Owner,"8,163 EGP/M²"
"شقه للبيع في حي 12مج4 أكتوبر
6th of October, Greater Cairo
84 M² 2 1
400,000 EGP",https://aqarmap.com.eg/en/listing/3133773-for-sale-cairo-6th-of-october,3,2,1,84 M²,EG-3133773,6/1/2022,"400,000 EGP",Property Owner,"4,762 EGP/M²"
"شقه الترا لوكس
Hamad Agami St., Kafr Tuhurmos
110 M² 3 1
260,000 EGP",https://aqarmap.com.eg/en/listing/3133772-for-sale-cairo-faisal-kafr-tohormos-hamad-agami-st,5,3,1,110 M²,EG-3133772,6/1/2022,"260,000 EGP",شقه الترا لوكس,"2,364 EGP/M²"
"شقة للبيع
Nasr City, Greater Cairo
101 M² 4 1
650,000 EGP",https://aqarmap.com.eg/en/listing/3133770-for-sale-cairo-nasr-city,3,4,1,101 M²,EG-3133770,6/1/2022,"650,000 EGP",Property Owner,"6,436 EGP/M²"
"شقة للبيع في مدينة العبور
Compounds in El Obour City, El Oubour
68 M² 2 1
315,000 EGP",https://aqarmap.com.eg/en/listing/3133768-for-sale-cairo-al-oubour-compounds,2,1,68 M²,EG-3133768,6/1/2022,"315,000 EGP",Property Owner,"4,632 EGP/M²",
"شقة سوبر لوكس للبييع بمسطرد فرعي من شارع بور سعيد
Greater Cairo
100 M² 2 1
300,000 EGP",https://aqarmap.com.eg/en/listing/3133765-for-sale-cairo,5,2,1,100 M²,EG-3133765,6/1/2022,"300,000 EGP",Property Owner,"3,000 EGP/M²"
"شقة سوبر لوكس شارع العشرين القبلي
Greater Cairo
110 M² 2 1
260,000 EGP",https://aqarmap.com.eg/en/listing/3133745-for-sale-cairo,2,2,1,110 M²,EG-3133745,6/1/2022,"260,000 EGP",Property Owner,"2,364 EGP/M²"
"شقة 150 متر تشطيب سوبر لوكس بالعباسية
Greater Cairo
150 M² 2 2
1,100,000 EGP",https://aqarmap.com.eg/en/listing/3133743-for-sale-cairo,8,2,2,150 M²,EG-3133743,6/1/2022,"1,100,000 EGP",Property Owner,"7,333 EGP/M²"
"شقه تصلح للتمويل العقاري بقلب حلوان
Greater Cairo
96 M² 2 1
390,000 EGP",https://aqarmap.com.eg/en/listing/3133739-for-sale-cairo,5,2,1,96 M²,EG-3133739,6/1/2022,"390,000 EGP",Property Owner,"4,063 EGP/M²"
"شقة للبيع في الكيلو ٢١
Hamad Agami St., Kafr Tuhurmos
115 M² 3 1
205,000 EGP",https://aqarmap.com.eg/en/listing/3133735-for-sale-cairo-faisal-kafr-tohormos-hamad-agami-st,1,3,1,115 M²,EG-3133735,6/1/2022,"205,000 EGP",شقة للبيع في الكيلو ٢١,"1,783 EGP/M²"
"شقة للبيع بحدائق اكتوبر
6th of October, Greater Cairo
63 M² 2 1
240,000 EGP",https://aqarmap.com.eg/en/listing/3133734-for-sale-cairo-6th-of-october,2,2,1,63 M²,EG-3133734,6/1/2022,"240,000 EGP",Property Owner,"3,810 EGP/M²"
"شقه للبيع في فيصل
Faisal, Greater Cairo
300 M² 4 2
750,000 EGP",https://aqarmap.com.eg/en/listing/3133732-for-sale-cairo-faisal,9,4,2,300 M²,EG-3133732,6/1/2022,"750,000 EGP",Property Owner,"2,500 EGP/M²"
"عين شمس الشرقية
Ain Shams, Greater Cairo
120 M² 3 1
350,000 EGP",https://aqarmap.com.eg/en/listing/3133727-for-sale-cairo-ain-shams,1,3,1,120 M²,EG-3133727,6/1/2022,"350,000 EGP",Property Owner,"2,917 EGP/M²"
"شقة في حسن محمد - فيصل
Faisal, Greater Cairo
105 M² 2 1
350,000 EGP",https://aqarmap.com.eg/en/listing/3133720-for-sale-cairo-faisal,7,2,1,105 M²,EG-3133720,6/1/2022,"350,000 EGP",Property Owner,"3,333 EGP/M²"
"شقه للبيع في المشروع الأمريكي مجاور ٢ أطلس حلوان
Helwan, Greater Cairo
56 M² 2 1
130,000 EGP",https://aqarmap.com.eg/en/listing/3133719-for-sale-cairo-helwan,3,2,1,56 M²,EG-3133719,6/1/2022,"130,000 EGP",Property Owner,"2,321 EGP/M²"
"للبيع تمليك
6th of October, Greater Cairo
70 M² 2 1
330,000 EGP",https://aqarmap.com.eg/en/listing/3133716-for-sale-cairo-6th-of-october,5,2,1,70 M²,EG-3133716,6/1/2022,"330,000 EGP",Property Owner,"4,714 EGP/M²"
"شقه للبيع
Ain Shams, Greater Cairo
90 M² 3 1
300,000 EGP",https://aqarmap.com.eg/en/listing/3133714-for-sale-cairo-ain-shams,1,3,1,90 M²,EG-3133714,6/1/2022,"300,000 EGP",Property Owner,"3,333 EGP/M²"
"شقة للبيع بزهراء مدينة نصر ، بجوار فودافون
Greater Cairo
140 M² 3 2
550,000 EGP",https://aqarmap.com.eg/en/listing/3133712-for-sale-cairo,3,3,2,140 M²,EG-3133712,6/1/2022,"550,000 EGP",Property Owner,"3,929 EGP/M²"
"شقة للبيع في العاشر من رمضان الحي ال16
10th of Ramadan, Greater Cairo
90 M² 3 1
235,000 EGP",https://aqarmap.com.eg/en/listing/3133711-for-sale-cairo-10th-of-ramadan,1,3,1,90 M²,EG-3133711,6/1/2022,"235,000 EGP",Property Owner,"2,611 EGP/M²"
"شقة للبيع
Gesr Al Suez St., Merryland
80 M² 2 1
380,000 EGP",https://aqarmap.com.eg/en/listing/3133692-for-sale-cairo-heliopolis-merryland-gesr-al-suez-st,3,2,1,80 M²,EG-3133692,5/1/2022,"380,000 EGP",شقة للبيع,"4,750 EGP/M²"
"شقة 270 متر في كمبوند حدائق الفدا نص تشطيب دور كامل باسانسير + حصة جراج
Hadayek El Fedaa, Compounds in New Cairo
270 M² 3 3
2,600,000 EGP",https://aqarmap.com.eg/en/listing/3133688-for-sale-cairo-new-cairo-compounds-hadayek-el-fedaa,1,3,3,2015,SEMI_FINISHED,Side Street,270 M²,شقة 270 متر في كمبوند حدائق الفدا نص تشطيب دور كامل باسانسير + حصة جراج,5/1/2022
"شقة 125م بكعابيش فيصل
Faisal, Greater Cairo
125 M² 3 1
360,000 EGP",https://aqarmap.com.eg/en/listing/3133689-for-sale-cairo-faisal,6,3,1,125 M²,EG-3133689,5/1/2022,"360,000 EGP",Property Owner,"2,880 EGP/M²"
"شقة 185 متر في كمبوند حياتي ريزيدنس نص تشطيب باسانسير بحري + حصة جراج غاز طبيعي مدفوع وديعة الصيانة عداد كهرباء
Hayati Residence, Compounds in New Cairo
185 M²
2,000,000 EGP",https://aqarmap.com.eg/en/listing/3133671-for-sale-cairo-new-cairo-compounds-hayati-residence,SEMI_FINISHED,Side Street,185 M²,EG-3133671,5/1/2022,"2,000,000 EGP",Agent,شقة 185 متر في كمبوند حياتي ريزيدنس نص تشطيب باسانسير بحري + حصة جراج غاز طبيعي مدفوع وديعة الصيانة عداد كهرباء,"10,811 EGP/M²"
"شقة للبيع ١٥٠ متر مربع فى جاردن سيتي القاهرة ، بجوار سفارة إنجلترا
Garden City, Greater Cairo
150 M² 3 2
2,250,000 EGP",https://aqarmap.com.eg/en/listing/3133674-for-sale-cairo-garden-city,3,3,2,150 M²,EG-3133674,5/1/2022,"2,250,000 EGP",Property Owner,"15,000 EGP/M²"
"شقة 200 متر في فيلات الدفاع الوطني 75 % تشطيب+واجهة ومدخل الفيلا شيك جدا مالك اصيل
Al Defaa Al Watany Compound, Compounds in New Cairo
200 M² 3 3
1,700,000 EGP",https://aqarmap.com.eg/en/listing/3133659-for-sale-cairo-new-cairo-compounds-kmbwnd-ldf-lwtny,2,3,3,2015,LUX,Side Street,200 M²,شقة 200 متر في فيلات الدفاع الوطني 75 % تشطيب+واجهة ومدخل الفيلا شيك جدا مالك اصيل,5/1/2022
"شقة 185 متر في كمبوند حياتي ريزيدنس الترا لوكس فيو لاند سكيب +حصة جراج البيع شامل المطبخ
Hayati Residence, Compounds in New Cairo
185 M² 3 2
2,700,000 EGP",https://aqarmap.com.eg/en/listing/3133652-for-sale-cairo-new-cairo-compounds-hayati-residence,Ground,3,2,2016,SUPER_LUX,Garden,185 M²,شقة 185 متر في كمبوند حياتي ريزيدنس الترا لوكس فيو لاند سكيب +حصة جراج البيع شامل المطبخ,5/1/2022
"شقة 150 متر في كمبوند اصالة نص تشطيب باسانسير + حصة جراج مدفوع الوديعة
Asalah, Compounds in New Cairo
150 M² 3 2
1,700,000 EGP",https://aqarmap.com.eg/en/listing/3133636-for-sale-cairo-new-cairo-compounds-asalah,3,3,2,2015,SEMI_FINISHED,Side Street,150 M²,شقة 150 متر في كمبوند اصالة نص تشطيب باسانسير + حصة جراج مدفوع الوديعة,5/1/2022
"Apartments For sale in Seventh Neighborhood
الحي السابع, الحي السابع
277 M² 3 2
2,650,000 EGP",https://aqarmap.com.eg/en/listing/3133631-for-sale-cairo-el-sheikh-zayed-city-el-hay-elsabeaa-lhy-lsb,1,3,2,2017,SUPER_LUX,Side Street,277 M²,Apartments For sale in Seventh Neighborhood,5/1/2022
"Apartments For sale in Seventh Neighborhood
الحي السابع, الحي السابع
323 M² 4 3
2,700,000 EGP",https://aqarmap.com.eg/en/listing/3133625-for-sale-cairo-el-sheikh-zayed-city-el-hay-elsabeaa-lhy-lsb,Ground,4,3,2017,SUPER_LUX,Side Street,323 M²,Apartments For sale in Seventh Neighborhood,5/1/2022
"شقة 178 متر في كمبوند اكاسيا سوبر لوكس باسانسير البيع شامل المطبخ مدفوع وديعة الصيانة
Acacia, Compounds in New Cairo
178 M² 3 2
2,450,000 EGP",https://aqarmap.com.eg/en/listing/3133609-for-sale-cairo-new-cairo-compounds-acacia,2,3,2,2015,SUPER_LUX,Side Street,178 M²,شقة 178 متر في كمبوند اكاسيا سوبر لوكس باسانسير البيع شامل المطبخ مدفوع وديعة الصيانة,5/1/2022
"Apartments For sale in Sixth Touristic Village
القرية السياحية السادسه, الحي المتميز
240 M² 3 2
2,600,000 EGP",https://aqarmap.com.eg/en/listing/3133607-for-sale-cairo-6th-of-october-featured-neighborhood-sixth-touristic-village,3,3,2,2015,SUPER_LUX,Main Street,240 M²,Apartments For sale in Sixth Touristic Village,5/1/2022
